"tconst" "averageRating" "numVotes" "titleType" "primaryTitle" "originalTitle" "isAdult" "startYear" "endYear" "runtimeMinutes" "genres"
"tt0093784" 5.5 127 "movie" "P.I. Private Investigations" "P.I. Private Investigations" 0 1987 NA 91 "Crime,Thriller"
"tt0019485" 6.1 18 "movie" "Le tourbillon de Paris" "Le tourbillon de Paris" 0 1928 NA 100 "Comedy,Drama"
"tt0118829" 6.9 6759 "movie" "Cats Don't Dance" "Cats Don't Dance" 0 1997 NA 75 "Animation,Comedy,Family"
"tt4440798" 4.5 128 "movie" "Farhope Tower" "Farhope Tower" 0 2015 NA 82 "Thriller"
"tt0086038" 6.8 16 "movie" "Oglyanis!..." "Oglyanis!..." 0 1984 NA 88 "Drama"
"tt6716912" 3.3 403 "movie" "Dead Water" "Dead Water" 0 2019 NA 89 "Thriller"
"tt0878654" 3.7 881 "movie" "Bulletface" "Bulletface" 0 2010 NA 82 "Thriller"
"tt0088883" 5.3 182 "movie" "Car Trouble" "Car Trouble" 0 1986 NA 93 "Comedy"
"tt0121056" 7.6 9 "movie" "Ai qing chang pao" "Ai qing chang pao" 0 1976 NA 90 "Romance"
"tt0141494" 5.4 8 "movie" "Kascha's Days & Nights" "Kascha's Days & Nights" 1 1989 NA 69 "Adult"
"tt0139865" 6 60 "movie" "Assassin in the Phonebook" "L'assassin est dans l'annuaire" 0 1962 NA 98 "Comedy,Crime,Drama"
"tt0425298" 3.2 113 "movie" "A Night in Compton" "A Night in Compton" 0 2004 NA 75 "Comedy"
"tt1568924" 7 412 "movie" "Cane Toads: The Conquest" "Cane Toads: The Conquest" 0 2010 NA 85 "Comedy,Documentary"
"tt4964580" 4.5 149 "movie" "Mae Bia" "Mae Bia" 0 2015 NA 126 "Drama"
"tt4923772" 6.2 79 "movie" "Roukli" "Roukli" 0 2015 NA 99 "Drama"
"tt0198805" 6.9 17 "movie" "Nan bei he" "Nan bei he" 0 1961 NA 108 "Comedy"
"tt0174601" 7 38 "movie" "Doroga" "Doroga" 0 1955 NA 103 "Action,Adventure"
"tt7424410" 4.3 132 "movie" "Blezi" "Blezi" 0 2018 NA 90 "Comedy,Romance"
"tt0203930" 6.8 16 "movie" "Her Last Part" "Son dernier rôle" 0 1946 NA 90 "Drama"
"tt2974068" 7 151 "movie" "Looking for Johnny" "Looking for Johnny" 0 2014 NA 94 "Documentary,Music"
"tt0083969" 5.4 19 "movie" "Woman with the Red Hat" "Die Frau mit dem roten Hut" 0 1984 NA 104 "Drama"
"tt0069809" 4.1 135 "movie" "Die blutigen Geier von Alaska" "Die blutigen Geier von Alaska" 0 1973 NA 95 "Adventure,Western"
"tt1080735" 7.8 27 "movie" "Magic Man" "Magic Man" 0 2007 NA 80 "Documentary,Sport"
"tt2400284" 5.5 331 "movie" "Lyubov s aktsentom" "Lyubov s aktsentom" 0 2012 NA 100 "Comedy"
"tt0057864" 5.3 698 "movie" "Back Door to Hell" "Back Door to Hell" 0 1964 NA 75 "Drama,War"
"tt1320282" 6.1 182 "movie" "Pomegranates and Myrrh" "Al-mor wa al rumman" 0 2008 NA 95 "Drama"
"tt0046289" 7.1 7 "movie" "The Secret of Helene Marimon" "Le secret d'Hélène Marimon" 0 1954 NA 100 "Drama,Romance,War"
"tt0090277" 7 65 "movie" "Voskresnyy papa" "Voskresnyy papa" 0 1985 NA 85 "Drama,Family"
"tt1732518" 5.6 156 "movie" "April in New York" "Abril en Nueva York" 0 2012 NA 96 "Drama,Musical,Romance"
"tt4466864" 4.7 1856 "movie" "The New Adventures of Aladdin" "Les nouvelles aventures d'Aladin" 0 2015 NA 107 "Comedy"
"tt0378826" 6.2 487 "movie" "Swapnakoodu" "Swapnakoodu" 0 2003 NA 160 "Comedy,Drama"
"tt2985814" 5.9 22 "movie" "Voyna Printsessy" "Voyna Printsessy" 0 2013 NA 90 "Drama"
"tt0066277" 5.4 76 "movie" "A Girl Called Jules" "La ragazza di nome Giulio" 0 1970 NA 106 "Drama"
"tt2522290" 5.3 42 "movie" "Four Two Ka One" "Four Two Ka One" 0 2012 NA 112 "Comedy"
"tt0026607" 6.2 383 "movie" "The Last Outpost" "The Last Outpost" 0 1935 NA 76 "Action,Adventure,Romance"
"tt0374862" 3.9 152 "movie" "Mariage mixte" "Mariage mixte" 0 2004 NA 104 "Comedy"
"tt0088179" 6.4 233 "movie" "Story of a Junkie" "Gringo" 0 1985 NA 95 "Documentary,Drama"
"tt0085623" 3.6 7 "movie" "Shouts of Anxiety" "Gritos de ansiedad" 0 1984 NA 88 "Thriller"
"tt2066070" 3.5 180 "movie" "Stag Hunt" "Stag Hunt" 0 2015 NA 94 "Adventure,Comedy,Drama"
"tt0087530" 7.4 867 "movie" "Kamalolmolk" "Kamalolmolk" 0 1984 NA 122 "Biography,Drama,History"
"tt0133102" 4.4 63 "movie" "Molskis, sanoi Eemeli, molskis!" "Molskis, sanoi Eemeli, molskis!" 0 1960 NA 81 "Comedy"
"tt0373293" 8 56 "movie" "Scallop Pond" "Scallop Pond" 0 2004 NA 90 "Crime,Mystery,Thriller"
"tt6557704" 8.4 325 "movie" "Ultra Low" "Ultra Low" 0 2018 NA 117 "Drama"
"tt0296494" 6.6 31 "movie" "Gimme Gimme" "Ngoi soeng ngo baa" 0 2001 NA 101 "Drama"
"tt9389924" 7.6 47 "movie" "Rainbow's Sunset" "Rainbow's Sunset" 0 2018 NA 110 "Drama,Family"
"tt11390036" 5.8 7359 "movie" "A Fall from Grace" "A Fall from Grace" 0 2020 NA 115 "Drama,Thriller"
"tt0127726" 6.7 14 "movie" "Parviyat kurier" "Parviyat kurier" 0 1968 NA 91 "Drama,History"
"tt0041172" 7 2061 "movie" "Beyond the Forest" "Beyond the Forest" 0 1949 NA 97 "Drama,Film-Noir,Romance"
"tt0380485" 7.5 1099 "movie" "Bonjour Monsieur Shlomi" "Ha-Kochavim Shel Shlomi" 0 2003 NA 94 "Comedy,Drama"
"tt0264355" 6.3 307 "movie" "American Chai" "American Chai" 0 2001 NA 92 "Comedy,Drama"
"tt0094651" 6.6 6764 "movie" "Amsterdamned" "Amsterdamned" 0 1988 NA 114 "Action,Crime,Horror"
"tt0167925" 7 1374 "movie" "Late August, Early September" "Fin août, début septembre" 0 1998 NA 112 "Drama,Romance"
"tt0772120" 6.3 18 "movie" "A hét nyolcadik napja" "A hét nyolcadik napja" 0 2006 NA 100 "Comedy"
"tt0082492" 6.5 30 "movie" "Hablamos esta noche" "Hablamos esta noche" 0 1982 NA 97 "Drama"
"tt0208103" 7.4 65 "movie" "My Last Mistress" "Donne-moi tes yeux" 0 1943 NA 101 "Drama"
"tt1358996" 6.9 58 "movie" "Morgue Story: Sangue, Baiacu e Quadrinhos" "Morgue Story: Sangue, Baiacu e Quadrinhos" 0 2009 NA 78 "Comedy,Horror,Thriller"
"tt5198670" 5.5 1331 "movie" "Where Is Kyra?" "Where Is Kyra?" 0 2017 NA 98 "Drama"
"tt0058379" 6.5 6927 "movie" "Mothra vs. Godzilla" "Mosura tai Gojira" 0 1964 NA 89 "Action,Adventure,Fantasy"
"tt0056982" 7.7 1002 "movie" "Delovye lyudi" "Delovye lyudi" 0 1963 NA 84 "Comedy,Drama,Western"
"tt0289479" 5.8 8 "movie" "Ta stravadia" "Ta stravadia" 0 1988 NA 84 "Comedy"
"tt5066598" 4.9 569 "movie" "The Tunnel" "Los del túnel" 0 2016 NA 95 "Comedy,Drama"
"tt5607096" 6.6 15464 "movie" "Juliet, Naked" "Juliet, Naked" 0 2018 NA 97 "Comedy,Drama,Music"
"tt3616934" 3.8 401 "movie" "Blood, Sand and Gold" "Blood, Sand and Gold" 0 2018 NA 90 "Action"
"tt0177832" 8 33 "movie" "The Inheritance" "La herencia" 0 1964 NA 78 "Comedy"
"tt0274509" 4.9 590 "movie" "From Venus" "From Venus" 0 2005 NA 88 "Horror,Sci-Fi"
"tt1185419" 7.4 14 "movie" "A la diestra del cielo: Silvio, un cantaor rockero" "A la diestra del cielo: Silvio, un cantaor rockero" 0 2007 NA 90 "Biography,Documentary,Music"
"tt4309356" 8 7339 "movie" "Ivy" "Sarmasik" 0 2015 NA 104 "Drama,Fantasy,Thriller"
